domain,registrar,registered_at,expiring_at,emails,phones,ip,ip_country,status_code,page_type,final_url,server,server_fp,is_cloudflare,favicon_mmh3,body_simhash,parking_service,title,h1,meta_desc,body_text_500,lang,form_count,field_types,form_labels,captcha,screenshot,threat_hits,threat_sources,threat_types,ti_max_severity,category,severity,severity_label,brand,notes,groq_desc,ip_asn
bored-farm.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-18,2027-03-18,,,159.100.6.19,DE,200,empty,http://bored-farm.com,LiteSpeed,4492f7f3e69c,False,,0000000000000000,,Default Web Site Page,,,"SORRY! If you are the owner of this website, please contact your hosting provider: webmaster@bored-farm.com It is possible you have reached this page because: The IP address has changed. The IP address for this domain may have changed recently. Check your DNS settings to verify that the domain is set up correctly. It may take 8-24 hours for DNS changes to propagate. It may be possible to restore access to this site by following these instructions for clearing your dns cache. There has been a ser",,,,,,screenshots/bored-farm.com.png,0,,,0,PARKING,1,LOW,,srv_fp:4492f7f3e69c,Unused website for parking,
brandymeivile.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-04,2027-05-04,,9-12-15-18-9,188.114.97.3,US,200,default_server,https://brandymeivile.com,cloudflare,df20d54e11a2,True,,bce931d538f55fa1,,Web Server's Default Page,Web Server's Default Page,,"What is Plesk Plesk is a hosting control panel with simple and secure web server, website and web apps management tools. It is specially designed to help web professionals manage web, DNS, mail and other services through a comprehensive and user-friendly GUI. Plesk is about intelligently managing servers, apps, websites and hosting businesses, on both traditional and cloud hosting. Try Online Demo Plesk Guides Knowledge Base Forum Developer Blog Video Guides Facebook",en,,,,,screenshots/brandymeivile.com.png,0,,,0,PARKING,1,LOW,,srv_fp:df20d54e11a2,Web Server's Default Page,AS13335
bsb-007-au.com,Fewmoretaps OU d/b/a Trustname.com,2026-03-30,2027-03-30,,,104.21.39.239,US,403,empty,https://bsb-007-au.com,cloudflare,811e0897f489,True,,9b071aeb20494bbf,,403 Forbidden,,,,,,,,,,0,,,0,PARKING,1,LOW,,srv_fp:811e0897f489,403 Forbidden,AS13335
capitalgain.solutions,Fewmoretaps OU d/b/a Trustname.com,2026-03-15,2027-03-15,,,,,200,empty,http://capitalgain.solutions,cloudflare,811e0897f489,True,,0000000000000000,,Default Web Site Page,,,"SORRY! If you are the owner of this website, please contact your hosting provider: webmaster@capitalgain.solutions It is possible you have reached this page because: The IP address has changed. The IP address for this domain may have changed recently. Check your DNS settings to verify that the domain is set up correctly. It may take 8-24 hours for DNS changes to propagate. It may be possible to restore access to this site by following these instructions for clearing your dns cache. There has bee",,,,,,screenshots/capitalgain.solutions.png,0,,,0,PARKING,1,LOW,,srv_fp:811e0897f489,Domain parking page,
gtvflyers.com,Fewmoretaps OU d/b/a Trustname.com,2023-01-23,2027-01-23,,,147.45.51.236,RU,403,active_content,https://gtvflyers.com/.basedflare/bot-check?/,,24be2aa9d598,False,-1205070130,cf6f14818f099dad,,Hold on...,,,,,,,,,,0,,,0,PARKING,1,LOW,,srv_fp:24be2aa9d598; fav:-1205070130,Hold on... website,
nationalparkkrkahr.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-13,2027-05-13,,,172.67.208.119,US,200,low_content,https://nationalparkkrkahr.com,cloudflare,811e0897f489,True,,8a0531c587029ef5,,"Sorry, the website has been stopped",,,"Website not found Sorry, Please confirm that this domain name has been bound to your website.",,,,,,screenshots/nationalparkkrkahr.com.png,0,,,0,PARKING,1,LOW,,srv_fp:811e0897f489,"Stopped website, likely a parked domain.",AS13335
oleencorcoltd.com,Fewmoretaps OU d/b/a Trustname.com,2026-04-21,2027-04-21,,0-10-10-10-10-0,92.113.16.234,UA,403,active_content,https://oleencorcoltd.com,hcdn,6a5775a063a2,False,,b7a47802a7019ca7,,Checking your browser before accessing. Just a moment...,,,,,,,,,,0,,,0,PARKING,1,LOW,,srv_fp:6a5775a063a2,"Parking website, unclear purpose",
polobethizligiris2026.icu,Fewmoretaps OU d/b/a Trustname.com,2026-05-06,2027-05-06,,,131.222.213.13,US,403,empty,https://polobethizligiris2026.icu,LiteSpeed,4492f7f3e69c,False,,f3bc8ec13c3d1b8d,,403 Forbidden,,,,,,,,,,0,,,0,PARKING,1,LOW,,srv_fp:4492f7f3e69c,Domain is currently parked and does not have any content,
polobetresmigiris.icu,Fewmoretaps OU d/b/a Trustname.com,2026-05-06,2027-05-06,,,131.222.213.13,US,403,empty,https://polobetresmigiris.icu,LiteSpeed,4492f7f3e69c,False,,f3bc8ec13c3d1b8d,,403 Forbidden,,,,,,,,,,0,,,0,PARKING,1,LOW,,srv_fp:4492f7f3e69c,Domain is currently parked and does not have any content,
pop-dex.com,Fewmoretaps OU d/b/a Trustname.com,2026-05-22,2027-05-22,,,104.21.0.102,US,403,active_content,https://pop-dex.com,cloudflare,811e0897f489,True,,82af9491ad42d8d5,,Just a moment...,,,,,,,,,,0,,,0,PARKING,1,LOW,,srv_fp:811e0897f489,Domain is currently parked and does not have any content,AS13335
