indicator,type,category,severity,brand,ip,ip_country,is_cloudflare,server_fp,favicon_mmh3,registered_at,title,groq_desc,form_labels,registrar,source
bodybuilding-extreme.com,domain,ADULT,HIGH,,35.215.119.143,US,True,811e0897f489,,2025-11-06,Esteroides Anabolicos en Mexico - Body Building Extreme,Website related to steroids and bodybuilding,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
camsvn.com,domain,ADULT,HIGH,,,,False,d8c33640a2fc,,2026-04-19,"Работа веб-моделью во Вьетнаме — от $3000, вилла у моря, полная поддержка. Вебкам студия в Кемерово, вебкам студия в Москве, вебкам студия в Новосибирске.",Adult content website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
camvibe.xyz,domain,ADULT,HIGH,,85.137.52.38,ES,True,811e0897f489,,2026-04-04,Just a moment...,Adult content website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
deocox.com,domain,ADULT,HIGH,,188.114.96.3,,False,24be2aa9d598,-297257263,2026-05-25,Suspected Phishing | Cloudflare,Adult content website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
esl-bits.pet,domain,ADULT,HIGH,,157.180.13.114,DE,False,2695f1e1e12a,,2025-10-27,Untitled Document,Untitled Document with suspicious content,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
funsly.sbs,domain,ADULT,HIGH,,45.144.51.112,PL,False,24be2aa9d598,,2026-05-18,Asif,Adult content website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
modafinia.com,domain,ADULT,HIGH,,188.114.96.3,,True,811e0897f489,,2021-08-06,Attention Required! | Cloudflare,"Website related to modafinil, possibly an adult content website",,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
moreforce.com,domain,ADULT,HIGH,,162.243.168.237,US,False,d8c33640a2fc,,2011-11-30,Major Resource to Improve Your Sexual Health - MoreForce.com,Major Resource to Improve Your Sexual Health,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
porndepfile.com,domain,ADULT,HIGH,,188.114.97.3,,True,ac7ed331a28e,,2017-12-28,"PornDepfile - Download Flashbit, Fboom, Fileboom Porn",Adult content download website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
pornk2scity.com,domain,ADULT,HIGH,,188.114.96.3,,True,ac7ed331a28e,,2021-04-17,Free Porn Videos Download or Watch K2S Keep2share Online Large collection of HD clips 18+,Adult content download website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
pornkeep.online,domain,ADULT,HIGH,PornKeep,188.114.97.3,,True,ac7ed331a28e,,2026-01-14,"Download Keep2share, K2s Porn | PornKeep.online",Adult content download platform,password,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
riotzed.lol,domain,ADULT,HIGH,Riotzed,80.96.109.77,RO,False,24be2aa9d598,,2026-05-19,riotzed.lol,Potential adult content website,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
wikitubes.com,domain,ADULT,HIGH,,,,False,d8c33640a2fc,,2026-03-12,Wikitubes Com — Stream Unlimited Music,Website offering adult content,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
buffallowildswlng.com,domain,BRAND_ABUSE,HIGH,Buffalo Wild Wings,172.67.177.84,,True,811e0897f489,-1638754719,2026-05-20,Buffalo Wild Wings | Wings. Beer. Sports,Spoofed domain of Buffalo Wild Wings,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
buffallowildswlngs.com,domain,BRAND_ABUSE,HIGH,Buffalo Wild Wings,104.21.70.45,,True,811e0897f489,,2026-05-19,Buffalo Wild Wings | Wings. Beer. Sports,Spoofed domain of Buffalo Wild Wings,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
buffallowilldswing.com,domain,BRAND_ABUSE,HIGH,Buffalo Wild Wings,188.114.96.3,,True,811e0897f489,-1638754719,2026-05-20,Buffalo Wild Wings | Wings. Beer. Sports,Spoofed domain of Buffalo Wild Wings,,Fewmoretaps OU / Trustname.com,phishdestroy/trustname-evidence
